iso-639-3	name	value	description	latitude	longitude	family
agr	Aguaruna	B	suffixenclitic	-5.30044	-77.92179	Chicham
apy	Apalaí	B	suffixenclitic	1.49792	-54.7457	Cariban
apu	Apurinã	B	suffixenclitic	-8.21692	-66.77141	Arawakan
arh	Arhuaco	B	suffixenclitic	10.70184	-73.63629	Chibchan
kwi	Awa-Cuaiquer	B	suffixenclitic	1.216525	-78.340135	Barbacoan
awe	Awetí	B	suffixenclitic	-12.93358	-53.58519	Tupian
quy	Ayacucho Quechua	B	suffixenclitic	-13.84714	-74.32246	Quechuan
brg	Baure	C	none	-13.12775	-64.18381	Arawakan
boa	Bora	B	suffixenclitic	-2.91467	-68.90929	Boran
bor	Bororo	B	suffixenclitic	-16.60295	-55.20043	Bororoan
qvc	Cajamarca Quechua	B	suffixenclitic	-7.09314	-78.32141	Quechuan
caw	Callawalla		Not known	-15.88451	-68.10176	Mixed Language
ram	Canela	B	suffixenclitic	-6.10712	-45.1299	Nuclear-Macro-Je
cav	Cavineña	C	none	-13.35441	-66.62773	Pano-Tacanan
ayr	Central Aymara	B	suffixenclitic	-17.0	-68.5	Aymaran
cbg	Chimila	B	suffixenclitic	10.19016	-74.25585	Chibchan
cap	Chipaya	B	suffixenclitic	-18.73951	-67.89633	Uru-Chipaya
cht	Cholón	B	suffixenclitic	-9.23129	-75.96211	Hibito-Cholon
cod	Cocama-Cocamilla	B	suffixenclitic	-4.5	-74.0	Tupian
cub	Cubeo	B	suffixenclitic	1.32382	-70.193935	Tucanoan
quz	Cusco Quechua	B	suffixenclitic	-14.08527	-71.76625	Quechuan
des	Desano	B	suffixenclitic	0.58157	-69.495545	Tucanoan
kwa	Dâw	B	suffixenclitic	-0.1177	-67.29341	Nadahup
eme	Emerillon	B	suffixenclitic	3.23694	-52.36986	Tupian
gvo	Gavião Do Jiparaná	B	suffixenclitic	-10.7235	-61.67521	Tupian
gta	Guató	C	none	-17.86961	-57.28974	Guato
hix	Hixkaryána	B	suffixenclitic	-0.16265	-58.80153	Cariban
qub	Huallaga Huánuco Quechua	B	suffixenclitic	-9.57135	-75.59401	Quechuan
qux	Huangascar-Topara-Yauyos Quechua	B	suffixenclitic	-13.11443	-75.76589	Quechuan
qwh	Huaylas Ancash Quechua	B	suffixenclitic	-9.38709	-77.77681	Quechuan
jup	Hupdë	B	suffixenclitic	0.58622	-69.835915	Nadahup
txi	Ikpeng	B	suffixenclitic	-11.37822	-53.49553	Cariban
qvi	Imbabura Highland Quichua	B	suffixenclitic	0.31776	-78.37286	Quechuan
inb	Inga	B	suffixenclitic	1.00313	-76.86062	Quechuan
ito	Itonama	C	none	-12.80431	-64.35748	Itonama
jaa	Jamamadí	B	suffixenclitic	-7.62223	-66.56619	Arawan
jqr	Jaqaru		Not known	-12.88233	-75.89576	Aymaran
qxw	Jauja Wanca Quechua	B	suffixenclitic	-11.67473	-75.2786	Quechuan
jur	Jurúna	B	suffixenclitic	-10.93541	-53.34717	Tupian
kay	Kamayurá	B	suffixenclitic	-12.26606	-53.46514	Tupian
kxo	Kanoê	C	none	-12.17894	-64.58121	Kanoe
ktn	Karitiâna	C	none	-9.37937	-64.15219	Tupian
arr	Karo (Brazil)	B	suffixenclitic	-10.33424	-61.56908	Tupian
knm	Katukína-Kanamarí	B	suffixenclitic	-6.45399	-68.7678	Katukinan
xwa	Kwaza	B	suffixenclitic	-11.6666666667	-61.1833333333	Kwaza
lkd	Lakondê	C	none	-13.2	-60.5	Nambiquaran
lec	Leco	B	suffixenclitic	-15.00921	-67.88181	Leko
arw	Lokono	B	suffixenclitic	5.6429525	-56.924345	Arawakan
mpu	Makuráp	B	suffixenclitic	-11.87014	-64.32007	Tupian
arn	Mapudungun	C	none	-38.73917	-71.27701	Araucanian
mcf	Matsés	C	none	-5.739145	-72.628105	Pano-Tacanan
omc	Mochica	C	none	-8.01666666667	-79.0	Mochica
moc	Mocoví	C	none	-28.09699	-60.41448	Guaicuruan
cas	Mosetén	C	none	-14.64448	-67.83756	Moseten-Chimane
mzp	Movima	C	none	-13.81152	-65.63482	Movima
myu	Mundurukú	B	suffixenclitic	-8.41095	-57.69099	Tupian
myr	Muniche		Not known	-5.80546	-76.28113	Muniche
yrl	Nhengatu	B	suffixenclitic	1.04502666667	-66.9645533333	Tupian
shb	Ninam	B	suffixenclitic	4.038935	-62.780115	Yanomamic
qvn	North Junín Quechua	B	suffixenclitic	-11.21321	-75.81275	Quechuan
emp	Northern Emberá	B	suffixenclitic	7.12761	-77.57396	Chocoan
qvp	Pacaraos Quechua	B	suffixenclitic	-11.14278	-76.73046	Quechuan
pab	Parecís	B	suffixenclitic	-14.59295	-57.40595	Arawakan
plg	Pilagá	C	none	-25.00585	-60.15372	Guaicuruan
pui	Puinave	B	suffixenclitic	3.92974	-67.6886	Puinave
pbb	Páez	B	suffixenclitic	2.61516	-76.31254	Paez
rkb	Rikbaktsa	B	suffixenclitic	-11.18865	-58.19424	Nuclear-Macro-Je
sae	Sabanê	B	suffixenclitic	-12.98572	-60.33498	Nambiquaran
skf	Sakirabia	B	suffixenclitic	-13.05395	-62.09274	Tupian
qxl	Salasaca Highland Quichua	B	suffixenclitic	-1.35447	-78.39531	Quechuan
qvs	San Martín Quechua	B	suffixenclitic	-6.9582	-76.6608	Quechuan
qus	Santiago del Estero Quichua	B	suffixenclitic	-27.82096	-63.24657	Quechuan
mav	Sateré-Mawé	B	suffixenclitic	-3.63897	-56.87489	Tupian
cbt	Shawi	C	none	-5.63764	-76.82525	Cahuapanan
shp	Shipibo-Conibo	C	none	-7.17105	-74.82192	Pano-Tacanan
jiv	Shuar	B	suffixenclitic	-3.45136	-78.18923	Chicham
quh	South Bolivian Quechua	B	suffixenclitic	-20.920095	-66.333145	Quechuan
qup	Southern Pastaza Quechua	B	suffixenclitic	-3.32733	-76.52697	Quechuan
tpj	Tapieté	C	none	-21.4168866667	-62.68397	Tupian
